seqnum,StationNumber,Latitude,Longitude,Elevation,StationName                             ,Who_entered,use_index,source_seqnum,country_seqnum
1400120,24712,47.4406,17.6242,149,Lovászpatona                            ,7,1,116,205
1400121,24806,47.3836,17.9719,262,Csatka                                  ,7,1,116,205
1400122,24806,47.3836,17.9719,262,Csatka                                  ,7,1,116,205
1400123,24818,47.3636,17.8925,232,Bakonyszentkirály                       ,7,1,116,205
1400124,24818,47.3636,17.8925,232,Bakonyszentkirály                       ,7,1,116,205
1400125,25100,47.1606,17.0397,169,Káld                                    ,7,1,116,205
1400126,25100,47.1606,17.0397,169,Káld                                    ,7,1,116,205
1400127,25107,47.2547,17.1622,135,Celldömölk                              ,7,1,116,205
1400128,25200,47.1614,17.2717,138,Kerta                                   ,7,1,116,205
1400129,25200,47.1614,17.2717,138,Kerta                                   ,7,1,116,205
1400130,25201,47.2403,17.3303,142,Dabrony                                 ,7,1,116,205
1400131,25201,47.2403,17.3303,142,Dabrony                                 ,7,1,116,205
1400132,25206,47.3258,17.4769,143,Pápa Belváros                           ,7,1,116,205
1400133,25206,47.3258,17.4769,143,Pápa Belváros                           ,7,1,116,205
1400134,25208,47.2483,17.4667,183,Kup                                     ,7,1,116,205
1400135,25208,47.2483,17.4667,183,Kup                                     ,7,1,116,205
1400136,25316,47.3314,17.6833,220,Bakonykoppány                           ,7,1,116,205
1400137,25316,47.3314,17.6833,220,Bakonykoppány                           ,7,1,116,205
1400138,25319,47.2561,17.7269,280,Bakonybél                               ,7,1,116,205
1400139,25400,47.2514,17.7614,388,Bakonybél Somhegypuszta                 ,7,1,116,205
1400140,25400,47.2514,17.7614,388,Bakonybél Somhegypuszta                 ,7,1,116,205
1400141,25416,47.1883,17.8164,504,Hárskút                                 ,7,1,116,205
1400142,25416,47.1883,17.8164,504,Hárskút                                 ,7,1,116,205
1400143,25417,47.2547,17.8697,413,Zirc                                    ,7,1,116,205
1400144,25417,47.2547,17.8697,413,Zirc                                    ,7,1,116,205
1400145,25616,47.0067,17.4503,209,Nyirád                                  ,7,1,116,205
1400146,25714,47.0858,17.6242,367,Úrkút                                   ,7,1,116,205
1400147,25714,47.0858,17.6242,367,Úrkút                                   ,7,1,116,205
